brand, product_name, shipping
Seagate,Seagate BarraCuda ST3000DM008 3TB 64MB Cache SATA 6.0Gb/s 3.5" Hard Drive Bare Drive,Free Shipping
Western Digital,WD Red 3TB NAS Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch - WD30EFRX,Free Shipping
Toshiba,TOSHIBA DT01ACA300 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Bare Drive,Free Shipping
Seagate,Seagate IronWolf 3TB NAS Hard Drive 5900 RPM 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive ST3000VN007,Free Shipping
Toshiba,TOSHIBA P300 3TB Desktop Hard Drive 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Retail Packaging HDWD130XZSTA,Free Shipping
Western Digital,WD Blue 3TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 64MB Cache 3.5 Inch - WD30EZRZ,Free Shipping
Western Digital,WD Black 3TB Performance Desktop Hard Disk Drive - 7200 RPM SATA 6Gb/s 64MB Cache 3.5 Inch - WD3003FZEX,Free Shipping
Western Digital,WD Purple 3TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD30PURZ,Free Shipping
Seagate,Seagate SkyHawk 3TB Surveillance Hard Drive 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive ST3000VX010,Free Shipping
Seagate,Seagate Desktop HDD ST3000DM001 3TB 7200 RPM 64MB Cache SATA 3.0Gb/s 3.5" Internal Hard Drive Bare Drive,Free Shipping
Seagate,Seagate Desktop HDD ST3000DM001 3TB 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Bare Drive,Free Shipping
Seagate,Seagate Barracuda ST3000DM007 3 TB 3.5" Internal Hard Drive - SATA - 5400rpm - 256 MB Buffer,Free Shipping
HGST,HGST Ultrastar 7K3000 HUA723030ALA640 (0F12456) 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5" Enterprisel Hard Drive Bare Drive,Free Shipping
empty,WL 3TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5" Internal Desktop Hard Drive (For PC/Mac/DVR) w/1 Year Warranty,Free Shipping
Western Digital,WD Red Pro 3TB NAS Hard Disk Drive - 7200 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch - WD3001FFSX,Free Shipping
Seagate,Seagate Constellation ES.3 ST3000NM0033 3TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5" Enterprise Internal Hard Drive Bare Drive,Free Shipping
Western Digital,WD Re 3TB Datacenter Capacity Hard Disk Drive - 7200 RPM Class SATA 6Gb/s 64MB Cache 3.5 inch WD3000FYYZ,Free Shipping
Western Digital,WD Black WD3003FZEX 3 TB 3.5" Internal Hard Drive,Free Shipping
HGST,HGST HUS724030ALA640 (0F14689) 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5" Enterprisel Hard Drive Bare Drive,Free Shipping
Seagate,Seagate Enterprise Capacity 3.5'' HDD 3TB 7200 RPM 512n SATA 6Gb/s 128MB Cache Internal Hard Drive ST3000NM0005,Free Shipping
Western Digital,Western Digital WD30EZRX,$11.00 Shipping
Western Digital,WD Green WD30EZRX 3TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Bare Drive,Free Shipping
Seagate,Seagate Constellation ES ST33000650NS 3TB 7200 RPM SATA 6.0Gb/s 3.5" Internal Hard Drive Bare Drive,Free Shipping
Western Digital,WD Purple 3TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD30PURX,Free Shipping
Toshiba,Toshiba MG03ACA MG03ACA300 3 TB 3.5" Internal Hard Drive,Free Shipping
Seagate,Seagate Enterprise Capacity 3.5'' HDD 3TB 7200 RPM 512n SAS 12Gb/s 128MB Cache Internal Hard Drive ST3000NM0025,Free Shipping
Seagate,Seagate Constellation ES.3 ST3000NM0023 3 TB 3.5" Internal Hard Drive,Free Shipping
HGST,HGST Ultrastar 7K4000 HUS724030ALS640 (0B26886) 3TB 7200 RPM 64MB Cache SAS 6Gb/s 3.5" Enterprise Hard Drive,Free Shipping
HGST,HGST Ultrastar 7K4000 HUS724030ALE640 (0F14684) 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5" Internal Enterprise Hard Drive Bare Drive,Free Shipping
Western Digital,WD Re 3TB Datacenter Capacity Hard Disk Drive - 7200 RPM Class SAS 6Gb/s 32MB Cache 3.5 inch WD3001FYYG,Free Shipping
HGST,Hitachi GST Deskstar 7K3000 HDS723030ALA640 (0F12450) 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Bare Drive,Free Shipping
Seagate,Seagate Constellation ES.2 ST33000651NS 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Bare Drive,Free Shipping
Seagate,Seagate BarraCuda XT ST33000651AS 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Bare Drive,Free Shipping
Seagate,Seagate Desktop HDD ST3000DM002 3TB 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Bare Drive,Free Shipping
Seagate,Seagate Constellation ES.3 ST3000NM0043 3 TB 3.5" Internal Hard Drive,Free Shipping
Western Digital,WD Black 3TB Performance Desktop Hard Disk Drive - 7200 RPM SATA 6 Gb/s 64MB Cache 3.5 Inch - WD3001FAEX,Free Shipping
